Data,Hora,Preço
2025-03-29,17:19:52,$1,818.39
2025-06-07,18:50:41,$2,522.15
2025-06-07,19:04:15,$2,523.66
2025-06-07,19:04:15,$2,523.66
2025-06-07,19:04:46,$2,523.66
2025-06-07,19:05:16,$2,523.66
2025-06-07,19:05:46,$2,523.66
2025-06-07,19:06:15,$2,523.94
2025-06-07,19:06:46,$2,523.94
2025-06-07,19:07:16,$2,522.13
2025-06-07,19:08:02,$2,522.33
2025-06-07,19:09:02,$2,522.33
2025-06-07,19:10:01,$2,522.33
2025-06-07,19:11:02,$2,522.23
2025-06-07,19:12:01,$2,522.23
2025-06-07,19:13:01,$2,522.39
2025-06-07,19:14:02,$2,522.39
2025-06-07,19:15:02,$2,522.39
2025-06-07,19:15:45,$2,522.75
2025-06-07,19:16:15,$2,522.75
2025-06-07,19:16:45,$2,522.43
2025-06-07,19:16:53,$2,522.43
2025-06-07,19:16:53,$2,522.43
2025-06-07,19:17:23,$2,522.28
2025-06-07,19:17:53,$2,522.28
2025-06-07,19:18:23,$2,523.20
2025-06-07,19:18:53,$2,523.20
2025-06-07,19:19:23,$2,523.20
2025-06-07,19:19:53,$2,523.20
2025-06-07,19:21:02,$2,523.20
2025-06-07,19:22:02,$2,522.91
2025-06-07,19:23:02,$2,523.69
2025-06-07,19:23:25,$2,523.93
2025-06-07,19:23:53,$2,523.69
2025-06-07,19:24:23,$2,524.41
2025-06-07,19:24:53,$2,524.41
2025-06-07,19:25:24,$2,524.41
2025-06-07,19:26:01,$2,523.97
2025-06-07,19:26:23,$2,523.97
2025-06-07,19:26:53,$2,524.24
2025-06-07,19:27:42,$2,524.24
2025-06-07,19:27:53,$2,524.24
2025-06-07,19:28:23,$2,524.24
2025-06-07,19:28:53,$2,524.24
2025-06-07,19:29:23,$2,524.24
2025-06-07,19:29:53,$2,524.57
2025-06-07,19:30:23,$2,524.57
2025-06-07,19:30:32,$2,524.57
2025-06-07,19:30:33,$2,524.57
2025-06-07,19:31:03,$2,524.57
2025-06-07,19:31:33,$2,524.57
2025-06-07,19:32:02,$2,539.14
2025-06-07,19:32:20,$2,539.14
2025-06-07,19:32:51,$2,539.14
2025-06-07,19:33:21,$2,539.58
2025-06-07,19:33:50,$2,539.58
2025-06-07,19:34:19,$2,539.58
2025-06-07,19:34:38,$2,539.58
2025-06-07,19:34:39,$2,538.63
2025-06-07,19:35:07,$2,538.63
2025-06-07,19:35:08,$2,538.63
2025-06-07,19:35:37,$2,538.63
2025-06-07,19:35:59,$2,538.63
2025-06-07,19:35:59,$2,538.63
2025-06-07,19:36:29,$2,538.63
2025-06-07,19:36:30,$2,538.63
2025-06-07,19:36:31,$2,538.63
2025-06-07,19:37:00,$2,538.63
2025-06-07,19:37:30,$2,542.84
2025-06-07,19:37:56,$2,542.84
2025-06-07,19:37:56,$2,538.57
2025-06-07,19:38:26,$2,538.57
2025-06-07,19:38:56,$2,538.57
2025-06-07,19:39:27,$2,538.57
2025-06-07,19:39:56,$2,538.57
2025-06-07,19:40:26,$2,536.69
2025-06-07,19:40:56,$2,536.69
2025-06-07,19:40:57,$2,536.69
2025-06-07,19:41:27,$2,536.69
2025-06-07,19:41:56,$2,536.69
2025-06-07,19:42:06,$2,536.69
2025-06-07,19:42:07,$2,536.69
2025-06-07,19:42:36,$2,536.69
2025-06-07,19:43:00,$2,536.69
2025-06-07,19:43:02,$2,539.67
2025-06-07,19:43:30,$2,539.67
2025-06-07,19:44:00,$2,539.67
2025-06-07,19:44:30,$2,539.67
2025-06-07,19:44:55,$2,539.67
2025-06-07,19:44:55,$2,539.67
2025-06-07,19:45:01,$2,539.67
2025-06-07,19:45:03,$2,539.67
2025-06-07,19:45:22,$2,541.61
2025-06-07,19:45:24,$2,541.61
2025-06-07,19:45:51,$2,539.67
2025-06-07,19:46:17,$2,541.61
2025-06-07,19:46:18,$2,541.61
2025-06-07,19:46:47,$2,541.61
2025-06-07,19:47:17,$2,539.74
2025-06-07,19:47:37,$2,539.74
2025-06-07,19:47:37,$2,539.74
2025-06-07,19:48:06,$2,539.74
2025-06-07,19:48:37,$2,540.77
2025-06-07,19:49:07,$2,540.77
2025-06-07,19:49:37,$2,540.77
2025-06-07,19:50:06,$2,539.80
2025-06-07,19:50:37,$2,539.80
2025-06-07,19:51:06,$2,539.80
2025-06-07,19:51:36,$2,540.32
2025-06-07,19:52:06,$2,540.32
2025-06-07,19:52:41,$2,540.32
2025-06-07,19:53:06,$2,540.55
2025-06-07,19:53:36,$2,540.55
2025-06-07,19:54:06,$2,541.05
2025-06-07,19:54:36,$2,541.05
2025-06-07,19:55:07,$2,540.20
2025-06-07,19:55:37,$2,540.20
2025-06-07,19:56:07,$2,535.88
2025-06-07,19:56:12,$2,535.88
2025-06-07,19:56:13,$2,535.88
2025-06-07,19:56:42,$2,535.88
2025-06-07,19:57:12,$2,535.58
2025-06-07,19:57:41,$2,535.58
2025-06-07,19:58:12,$2,536.32
2025-06-07,19:58:41,$2,536.32
2025-06-07,19:59:13,$2,536.32
2025-06-07,19:59:22,$2,536.32
2025-06-07,19:59:23,$2,536.32
2025-06-07,19:59:51,$2,536.32
2025-06-07,20:00:21,$2,535.19
2025-06-07,20:00:51,$2,535.19
2025-06-07,20:01:21,$2,533.72
2025-06-07,20:01:51,$2,533.72
2025-06-07,20:02:14,$2,532.00
2025-06-07,20:02:15,$2,532.00
2025-06-07,20:02:44,$2,532.00
2025-06-07,20:03:18,$2,532.00
2025-06-07,20:03:20,$2,532.00
2025-06-07,20:03:43,$2,532.00
2025-06-07,20:04:13,$2,532.00
2025-06-07,20:04:44,$2,532.00
2025-06-07,20:05:13,$2,529.27
2025-06-07,20:05:44,$2,529.27
2025-06-07,20:06:14,$2,530.51
2025-06-07,20:06:44,$2,530.51
2025-06-07,20:07:13,$2,530.51
2025-06-07,20:07:44,$2,531.82
2025-06-07,20:08:13,$2,531.82
2025-06-07,20:08:43,$2,531.81
2025-06-07,20:09:14,$2,531.81
2025-06-07,20:09:43,$2,531.79
2025-06-07,20:10:14,$2,531.79
2025-06-07,20:10:43,$2,531.19
2025-06-07,20:11:14,$2,531.19
2025-06-07,20:11:43,$2,531.73
2025-06-07,20:12:13,$2,531.73
2025-06-07,20:12:43,$2,531.73
2025-06-07,20:13:13,$2,531.01
2025-06-07,20:13:43,$2,531.01
2025-06-07,20:14:13,$2,530.59
2025-06-07,20:14:43,$2,530.59
2025-06-07,20:15:28,$2,530.15
2025-06-07,20:15:43,$2,530.15
2025-06-07,20:16:13,$2,530.15
2025-06-07,20:16:44,$2,530.15
2025-06-07,20:17:13,$2,529.94
2025-06-07,20:17:43,$2,529.94
2025-06-07,20:18:13,$2,529.94
2025-06-07,20:18:43,$2,529.94
2025-06-07,20:19:13,$2,529.94
2025-06-07,20:19:43,$2,530.33
2025-06-07,20:20:13,$2,530.33
2025-06-07,20:20:43,$2,530.33
2025-06-07,20:21:13,$2,530.37
2025-06-07,20:21:43,$2,530.37
2025-06-07,20:22:13,$2,528.09
2025-06-07,20:22:43,$2,528.09
2025-06-07,20:23:13,$2,528.09
2025-06-07,20:23:43,$2,528.09
2025-06-07,20:24:13,$2,528.69
2025-06-07,20:24:43,$2,528.69
2025-06-07,20:25:13,$2,528.69
2025-06-07,20:25:43,$2,528.27
2025-06-07,20:26:13,$2,528.27
2025-06-07,20:26:43,$2,527.70
2025-06-07,20:27:13,$2,527.70
2025-06-07,20:27:43,$2,527.45
2025-06-07,20:28:13,$2,527.45
2025-06-07,20:28:43,$2,527.45
2025-06-07,20:29:13,$2,527.45
2025-06-07,20:29:43,$2,527.45
2025-06-07,20:30:13,$2,527.45
2025-06-07,20:30:43,$2,529.09
2025-06-07,20:31:13,$2,529.09
2025-06-07,20:31:43,$2,529.09
2025-06-07,20:32:13,$2,527.58
2025-06-07,20:32:43,$2,527.58
2025-06-07,20:33:13,$2,528.00
2025-06-07,20:33:43,$2,528.00
2025-06-07,20:34:13,$2,528.00
2025-06-07,20:34:43,$2,528.00
2025-06-07,20:35:13,$2,524.73
2025-06-07,20:35:43,$2,524.73
2025-06-07,20:36:13,$2,524.85
2025-06-07,20:36:43,$2,524.85
2025-06-07,20:37:13,$2,525.20
2025-06-07,20:37:43,$2,525.20
2025-06-07,20:38:13,$2,525.20
2025-06-07,20:38:43,$2,525.20
2025-06-07,20:39:13,$2,524.65
2025-06-07,20:39:43,$2,524.65
2025-06-07,20:40:13,$2,524.65
2025-06-07,20:40:43,$2,524.65
2025-06-07,20:41:13,$2,524.76
2025-06-07,20:41:44,$2,524.76
2025-06-07,20:42:14,$2,524.98
2025-06-07,20:43:02,$2,524.98
2025-06-07,20:44:02,$2,525.66
2025-06-07,20:45:02,$2,525.57
2025-06-07,20:46:02,$2,525.89
2025-06-07,20:47:02,$2,526.44
2025-06-07,20:48:02,$2,526.90
2025-06-07,20:49:02,$2,526.61
2025-06-07,20:50:02,$2,526.61
2025-06-07,20:51:02,$2,526.61
2025-06-07,20:52:02,$2,526.79
2025-06-07,20:53:01,$2,527.35
2025-06-07,20:54:02,$2,527.18
2025-06-07,20:55:02,$2,526.32
2025-06-07,20:56:02,$2,526.32
2025-06-07,20:57:02,$2,526.19
2025-06-07,20:58:02,$2,526.19
2025-06-07,20:59:02,$2,526.19
2025-06-07,21:00:02,$2,525.53
2025-06-07,21:01:02,$2,525.53
2025-06-07,21:02:02,$2,525.53
2025-06-07,21:03:02,$2,525.36
2025-06-07,21:04:02,$2,524.19
2025-06-07,21:04:57,$2,524.19
2025-06-07,21:05:14,$2,524.19
